datetime,signal
2022-03-24,-1
2022-03-25,-1
2022-03-28,1
2022-03-30,0
2022-03-31,1
2022-04-01,0
2022-04-04,1
2022-04-05,0
2022-04-06,0
2022-04-07,0
2022-04-08,-1
2022-04-11,1
2022-04-12,-1
2022-04-13,-1
2022-04-14,0
2022-04-18,-1
2022-04-19,1
2022-04-20,1
2022-04-21,1
2022-04-22,0
2022-04-25,-1
2022-04-26,1
2022-04-27,0
2022-04-28,1
2022-04-29,1
2022-05-02,1
2022-05-03,-1
2022-05-04,0
2022-05-05,1
2022-05-06,0
2022-05-09,-1
2022-05-10,0
2022-05-11,1
2022-05-12,0
2022-05-13,0
2022-05-16,-1
2022-05-17,0
2022-05-18,1
2022-05-19,-1
2022-05-20,0
2022-05-23,1
2022-05-24,1
2022-05-25,0
2022-05-26,1
2022-05-27,0
2022-05-31,-1
2022-06-01,1
2022-06-02,1
2022-06-03,1
2022-06-06,1
2022-06-07,0
2022-06-08,0
2022-06-09,1
2022-06-10,0
2022-06-13,1
2022-06-14,1
2022-06-15,1
2022-06-16,0
2022-06-17,0
2022-06-20,-1
2022-06-21,0
2022-06-22,-1
2022-06-23,0
2022-06-24,0
2022-06-27,-1
2022-06-28,0
2022-06-29,-1
2022-06-30,-1
2022-07-01,1
2022-07-04,0
2022-07-05,-1
2022-07-06,0
2022-07-07,1
2022-07-08,-1
2022-07-11,0
2022-07-13,-1
2022-07-14,-1
2022-07-15,0
2022-07-18,0
2022-07-19,0
2022-07-20,1
2022-07-21,1
2022-07-22,0
2022-07-25,0
2022-07-26,1
2022-07-27,-1
2022-07-28,0
2022-07-29,-1
2022-08-01,-1
2022-08-02,1
2022-08-03,1
2022-08-04,0
